# netlist of hardware/synthseqr_v3.kicad_pcb
# sha256:034a75fff1ca493f  generated 2026-09-02T20:02:22Z
# 202 components, 117 nets

## components

A: 1
  A1       Adafruit Feather M4 Express     89.35     25.11  PCM_synthseqr:Adafruit_Feather_SMDheader
    C19.2 C22.2 C23.2 C24.2 C25.2 C26.2 C27.2 C28.2 C29.2 C30.2 C31.2 C32.2 C33.2 C34.2 C35.2 C36.2 C37.2 C38.2 C39.2 C40.2 C41.2 C42.2 C43.2 C44.2 C45.2 C46.2 C47.2 C48.2 C49.2 C50.2 C51.2 C52.2 C53.2 C54.2 C55.2 C56.2 C62.2 J4.1 LED1.1 LED2.1 LED3.1 LED4.1 LED5.1 LED6.1 LED7.1 LED8.1 LED9.1 LED10.1 LED11.1 LED12.1 LED13.1 LED14.1 LED15.1 LED16.1 LED17.1 LED18.1 LED19.1 LED20.1 LED21.1 LED22.1 LED23.1 LED24.1 LED25.1 LED26.1 LED27.1 LED28.1 LED29.1 LED30.1 LED31.1 LED32.1 LED33.1 LED34.1 LED35.1 LED36.1 NetTie_1.1 U5.14
/LED_DATA  (4)
    A1.26 R9.2 U5.2 leddata1.1
/LED_PRE  (2)
    R37.1 U5.3
/LED_SIG  (3)
    J4.2 LED1.3 R37.2
/MIDI_RX  (4)
    A1.14 R2.2 U4.4 midirx1.1
/MIDI_TX  (3)
    A1.15 R4.1 miditx1.1
/OPTO_A  (3)
    D3.2 R1.2 U4.1
/OPTO_K  (3)
    D3.1 J6.5 U4.2
/PLAY  (3)
    A1.10 R8.1 SW36.2
/RECORD  (3)
    A1.11 R7.1 SW35.2
/SHIFT  (3)
    A1.6 R5.1 SW33.2
/STOP  (3)
    A1.12 R6.1 SW34.2
3V3  (36)
    A1.2 C58.2 C59.1 C60.1 C61.1 C63.1 R2.1 R3.1 RN1.1 RN2.1 RN3.1 RN4.1 RV1.1 RV2.1 RV3.1 RV4.1 RV5.1 RV6.1 RV7.1 RV8.1 RV9.1 RV10.1 RV11.1 RV12.1 RV13.1 RV14.1 RV15.1 RV16.1 SW33.1 SW34.1 SW35.1 SW36.1 U1.24 U2.24 U3.24 U4.6
FADER_SIGNALS  (2)
    A1.5 U1.1
GND  (181)
